Dot Name,Prop Name,Quantity,Total  Pixels,Link to Product,Link to Image
House Outline,Eave Sections,26,1344,https://www.holidaycoro.com/PixelPipe-Pre-Drilled-Pixel-Mounting-Pipe-p/1800.htm,https://cdn4.volusion.store/ospkt-vnbus/v/vspfiles/photos/1800-2.jpg?v-cache=1757067037
House Outline,Vertical Drops,15,1023,https://www.holidaycoro.com/PixelPipe-Pre-Drilled-Pixel-Mounting-Pipe-p/1800.htm,https://cdn4.volusion.store/ospkt-vnbus/v/vspfiles/photos/1800-2.jpg?v-cache=1757067037
House Outline,Window Frames,5,494,https://www.holidaycoro.com/PixelPipe-Pre-Drilled-Pixel-Mounting-Pipe-p/1800.htm,https://cdn4.volusion.store/ospkt-vnbus/v/vspfiles/photos/1800-2.jpg?v-cache=1757067037
Spinners,Showstopper,3,1719,https://efl-designs.com/product/showstopper-spinner/,https://efl-designs.com/wp-content/uploads/2023/01/326744987_722493346146386_6848229485906405371_n.jpg
Spinners,GE Overlord,1,1529,https://gilbertengineeringusa.com/products/overlord-spinner?variant=49598850892088,https://gilbertengineeringusa.com/cdn/shop/files/34cc2093-d4b4-479d-a0fb-21d831c3ddb3_83dcdc2a-3cb4-46a0-b2e3-c7c202af1ef5_800x.jpg?v=1736459323
Spinners,GE Rosa Grande,1,1392,https://gilbertengineeringusa.com/products/rosa-grande?variant=47608355193144,https://gilbertengineeringusa.com/cdn/shop/files/20201216_150153_800x.jpg?v=1735926870
Spinners,GE Fuzion,1,996,https://gilbertengineeringusa.com/products/fuzion?_pos=1&_sid=359bb3a2e&_ss=r,https://gilbertengineeringusa.com/cdn/shop/files/329749913_936104667802565_3543072817965595140_n_800x.jpg?v=1735931588
Spinners,GE Click Click Boom,1,1600,https://gilbertengineeringusa.com/products/click-click-boom?variant=46182064685368,https://gilbertengineeringusa.com/cdn/shop/files/365397613_1012879586409729_5424481113734567639_n_800x.jpg?v=1735933919
Matrix,P5 Panels,56,114688,https://www.wiredwatts.com/build-a-matrix-kit,https://www.wiredwatts.com/img/products/m/pnp5o2pk-1_m.jpg
House Props,Holiday Coro Spider,8,800,https://www.holidaycoro.com/Spider-p/4013-1.htm,https://cdn4.volusion.store/ospkt-vnbus/v/vspfiles/photos/4013-1-2.jpg
House Props,Fireworks,2,720,https://www.holidaycoro.com/PixelPipe-Pre-Drilled-Pixel-Mounting-Pipe-p/1800.htm,https://cdn4.volusion.store/ospkt-vnbus/v/vspfiles/photos/1800-2.jpg?v-cache=1757067037
House Props,Boscoyo Tombstones,4,600,https://boscoyostudio.com/products/megachromastone-rip-collection?_pos=5&_sid=e4b4603c8&_ss=r,https://boscoyostudio.com/cdn/shop/files/megachromastones-rip-collection-boscoyo-studio-94298.jpg?v=1744813420
Left Yard,EFLTombstones,6,900,https://efl-designs.com/product/tombstone-rip/,https://efl-designs.com/wp-content/uploads/2022/12/RIP-Tombstone.jpg
Left Yard,Tune-To-Matrix 2,1,320,https://www.holidaycoro.com/PixNode-Net-RGB-Pixel-Node-Mounting-Net-p/775.htm,https://cdn4.volusion.store/ospkt-vnbus/v/vspfiles/photos/775-11T.jpg?v-cache=1559561634
Left Yard,Singing Pumpkin,1,263,https://www.holidaycoro.com/RGB-Singing-Pumpkin-Face-p/17rgb.htm,https://cdn4.volusion.store/ospkt-vnbus/v/vspfiles/photos/17RGB-2.jpg?v-cache=1439984350
Left Yard,Tall Pixel Forest,1,600,https://www.holidaycoro.com/Peace-Family-Slim-Pixel-Stakes-For-Nodes-p/270.htm,https://cdn4.volusion.store/ospkt-vnbus/v/vspfiles/photos/270-2.jpg?v-cache=1586593316
Left Yard,Pixel Poles,8,2400,https://efl-designs.com/product/pixel-pole-nsr/,https://efl-designs.com/wp-content/uploads/2023/08/359670007_1222169481800702_8687716664413280471_n.jpg
Left Yard,Bats,7,350,https://gilbertengineeringusa.com/products/bat?variant=44990975410488,https://gilbertengineeringusa.com/cdn/shop/files/received_690443211876338_800x.jpg?v=1735925610
Center Yard,PixNode Triple Arches,8,1200,https://www.holidaycoro.com/PixNode-QuickArch-Kit-6ft-p/1083.htm,https://cdn4.volusion.store/ospkt-vnbus/v/vspfiles/photos/1083-3T.jpg?v-cache=1727768975
Center Yard,Mini Pumpkins,8,264,http://holidaycoro.com/Coro-Mini-Pumpkins-p/1045.htm,https://cdn4.volusion.store/ospkt-vnbus/v/vspfiles/photos/1045-2T.jpg?v-cache=1568834508
Center Yard,Sprial Trees,8,800,https://gilbertengineeringusa.com/products/spiral-tree?variant=32254916296806,https://gilbertengineeringusa.com/cdn/shop/files/20201229_084020_400x.jpg?v=1757622668
Center Yard,PixNode Trees,8,528,https://www.holidaycoro.com/PixNode-Pixel-Mini-Tree-p/778.htm,https://cdn4.volusion.store/ospkt-vnbus/v/vspfiles/photos/778-2.jpg?v-cache=1648200903
Right Yard,GE Rosa Tombs,4,1940,https://gilbertengineeringusa.com/products/impression-ge-rosa-tomb?variant=46160268493112,https://gilbertengineeringusa.com/cdn/shop/files/365474434_1012693263086395_894566427357980396_n_800x.jpg?v=1735933853
Right Yard,Short Pixel Forest,1,500,https://www.holidaycoro.com/Peace-Family-Slim-Pixel-Stakes-For-Nodes-p/270.htm,https://cdn4.volusion.store/ospkt-vnbus/v/vspfiles/photos/270-2.jpg?v-cache=1586593316
Right Yard,Megatree,1,3000,https://www.holidaycoro.com/PixNode-Extreme-Strip-for-Pixel-Nodes-p/763.htm,https://cdn4.volusion.store/ospkt-vnbus/v/vspfiles/photos/763-2.jpg?v-cache=1570398041
Right Yard,GE Spider,1,350,https://gilbertengineeringusa.com/products/impression-preying-spider?_pos=1&_sid=fe1f3ca8a&_ss=r,https://gilbertengineeringusa.com/cdn/shop/files/20200614_175846_800x.jpg?v=1735925530
Right Yard,Tune-To Matrix,1,320,https://www.holidaycoro.com/PixNode-Net-RGB-Pixel-Node-Mounting-Net-p/775.htm,https://cdn4.volusion.store/ospkt-vnbus/v/vspfiles/photos/775-11T.jpg?v-cache=1559561634
