Song,Artist,Category,Vendor,Mine,Year,sequence link,song image link
Abracadabra,Lady Gaga,Halloween,Lights of Elm Ridge,Yes,2025,https://xlightsseq.com/sequences/abracadabra-lady-gaga.1233/,
I Think We're Alone Now,Hidden Citizens,Halloween,Lights of Elm Ridge,Yes,2026,,
Light Em up,Fall out Boy,Halloween,Visionary Sequences,No,2026,https://visionarylightshows.com/products/halloween-horror-lights-2020,https://visionarylightshows.com/cdn/shop/products/LightEmUpFallOutBoy_1024x1024@2x.jpg?v=1598234176
Spooky Scary Skeletons,Disney,Halloween,Lights of Elm Ridge,Yes,2023,https://xlightsseq.com/sequences/spooky-scary-skeletons-remix.1212/,
Purple People Eater,Pegboard Nerds,Halloween,Lights of Elm Ridge,Yes,2023,,
E.T.,Katy Perry,Halloween,Lights of Elm Ridge,Yes,2023,https://xlightsseq.com/sequences/e-t-katy-perry.1180/,
This is Halloween,Danny Elfman,Halloween,Lights of Elm Ridge,Yes,2022,https://xlightsseq.com/sequences/this-is-halloween.1175/,
Wellerman Sea Shanty,2WEI,Halloween,Lights of Elm Ridge,Yes,2026,,
Monster Mash,Geoff Castellucci,Halloween,Paul Irwin,No,2025,https://xlightsseq.com/sequences/monster-mash.271/,
Thriller Remix,Michael Jackson,Halloween,Lights of Elm Ridge,Yes,2023,,
Ghostbusters - I'm Not Afraid,Fall Out Boy Ft Missy Elliott,Halloween,Lights of Elm Ridge,Yes,2023,,
Haunted Mansion Intro,Disney,Halloween,Lights of Elm Ridge,Yes,2022,https://xlightsseq.com/sequences/haunted-mansion-intro-grim-grinning-ghosts.1181/,
Paint it Black (Wednesday Soundtrack),Wednesday Addams,Halloween,Lights of Elm Ridge,Yes,2024,,
In the Air Tonight,Phil Collins,Halloween,Lights of Elm Ridge,Yes,2026,,
Separate Ways (Stranger Things Remix),Journey,Halloween,Lights of Elm Ridge,Yes,2024,https://xlightsseq.com/sequences/separate-ways-stranger-things-version-journey.1161/,
Save Tonight,Zayde Wolfe,Halloween,Lights of Elm Ridge,Yes,2024,,
Carousel,Melanie Martinez,Halloween,Lights of Elm Ridge,Yes,2025,https://xlightsseq.com/sequences/carousel-melanie-martinez.1185/,
The Dead Dance,Lady Gaga,Halloween,Lights of Elm Ridge,Yes,2025,https://xlightsseq.com/sequences/the-dead-dance-lady-gaga.1404/,
DragulAPT Mashup,DJ Cummerbund,Halloween,Easy Xlights Sequences,No,2025,https://easyquences.com/shop/dj-cummerbund-dragulapt/,https://theawesomer.com/photos/2025/04/dragulapt_dj_cummerbund_t.jpg
Bloody Mary,Lady Gaga,Halloween,Visionary Sequences,No,2026,https://visionarylightshows.com/products/free-halloween-horror-lights-2023,https://visionarylightshows.com/cdn/shop/files/bloody-mary-lady-gaga-traduzione_1024x1024@2x.jpg?v=1695568416
Shadow ,Livingston,Halloween,Lights of Elm Ridge,Yes,2025,https://xlightsseq.com/sequences/shadow-livingston.1242/,
Ghostbusters Remix,Ray Parker Jr,Halloween,Visionary Sequences,No,2026,https://visionarylightshows.com/products/ghostbusters-remix,https://visionarylightshows.com/cdn/shop/products/GHOSTBUSTERSREMIX_1024x1024@2x.jpg?v=1650719515
Defying Gravity,Wicked Soundtrack,Halloween,Lights of Elm Ridge,Yes,2024,https://xlightsseq.com/sequences/defying-gravity-wicked.1207/,
I Put a Spell on You,Bette Midler,Halloween,Lights at Saguraro Trails,No,2025,https://xlightsseq.com/sequences/hocus-pocus-i-put-a-spell-on-you.1237/,
You Make me Feel Like It's Halloween,Muse,Halloween,Easy Xlights Sequences,No,2025,https://easyquences.com/shop/muse-you-make-me-feel-like-its-halloween/,https://easyquences.com/wp-content/uploads/2025/03/Muse-You-Make-Me-Feel-Like-Its-Halloween-512x512-Cover.png
Darkside,Neoni,Halloween,Lights of Elm Ridge,Yes,2025,https://xlightsseq.com/sequences/darkside-by-neoni.1338/,
You'll Float Too: It Remix,Onderkoffer,Halloween,Pixel Sequence Pros,No,2025,https://pixelsequencepros.com/products/youll-float-too-remix-onderkoffer,https://pixelsequencepros.com/cdn/shop/products/ItRemix-cover.jpg?v=1690397976&width=823
Your Idol,Kpop Demon Hunters,Halloween,Lights of Elm Ridge,Yes,2025,https://xlightsseq.com/sequences/kpop-demon-hunters-your-idol.1333/,
Believer,Imagine Dragons,Halloween,Pixel Pro Displays,No,2024,https://ezrgb.com/product/imagine-dragons-believer-pixel-pro-displays,https://ezrgb.com/_next/image?url=https%3A%2F%2Fcms.ezrgb.com%2Fwp-content%2Fuploads%2F2024%2F11%2F31s0OBWV9SL._SL500_-1.jpg&w=1200&q=75
